Episode,Steps,Falling Position,Total Reward
0,32,0.4725846194668364,-32.724614159949084
1,33,0.495929961949777,-27.221011415066897
2,33,0.4860133892133831,-30.195983235985068
3,34,0.5027644093735262,-26.670677187942147
4,33,0.4761707718207546,-33.14876845377361
5,33,0.4860265395387202,-30.192038138383936
6,32,0.4646776102827701,-35.09671691516897
7,33,0.4925040628726052,-28.248781138218447
8,34,0.49727334822311064,-28.317995533066807
9,34,0.49479030264733836,-29.06290920579849
10,32,0.4804706416547404,-30.35880750357788
11,36,0.5326247402164981,-20.712577935050575
12,36,0.5309905536669106,-21.202833899926816
13,35,0.508569837831466,-26.42904865056019
14,34,0.4981865083211119,-28.044047503666434
15,33,0.4783389879406599,-32.49830361780204
16,33,0.4895493785946172,-29.135186421614833
17,32,0.48575143486234396,-28.774569541296813
18,32,0.474479252005942,-32.156224398217404
19,34,0.503490255623511,-26.452923312946695
20,35,0.49919951115116135,-29.240146654651596
21,34,0.490572856051152,-30.328143184654408
22,31,0.45687428235366667,-35.9377152939
23,34,0.488518905836969,-30.9443282489093
24,35,0.5334269450041589,-18.971916498752336
25,34,0.4883862326337507,-30.98413020987479
26,33,0.4812975748708652,-31.610727538740434
27,33,0.49088938231184187,-28.73318530644744
28,32,0.47915518426627557,-30.75344472011733
29,34,0.4882164477119204,-31.035065686423877
30,32,0.46639786160617547,-34.58064151814736
31,33,0.47977989055804215,-32.066032832587354
32,32,0.45353650156081216,-38.43904953175635
33,33,0.48707983157696333,-29.876050526911
34,33,0.4796449044184925,-32.10652867445225
35,34,0.5023864623935737,-26.784061281927904
36,34,0.4860143111119868,-31.695706666403964
37,30,0.4360041971593134,-40.69874085220599
38,35,0.510388317306969,-25.883504807909304
39,35,0.514981975114793,-24.505407465562087
40,34,0.5195959466596349,-21.62121600210952
41,34,0.5060085450379574,-25.697436488612766
42,31,0.4537819995749359,-36.86540012751922
43,34,0.5095448762184276,-24.636537134471723
44,37,0.5521469766732849,-16.355906998014518
45,33,0.48472341909466365,-30.582974271600904
46,34,0.5050431110452038,-25.98706668643885
47,40,0.5915878999619508,-9.023630011414753
48,32,0.47406288283027465,-32.281135150917606
49,33,0.466849697907989,-35.94509062760329
50,34,0.5069313263382114,-25.42060209853659
51,35,0.5001086926060978,-28.96739221817066
52,33,0.477742931621826,-32.677120513452195
53,33,0.4767736390917392,-32.96790827247824
54,32,0.46237162797567777,-35.78851160729667
55,37,0.5417554629196673,-19.473361124099824
56,35,0.5137481463241187,-24.875556102764392
57,33,0.48589973518386387,-30.23007944484084
58,35,0.531759826081796,-19.472052175461215
59,35,0.5071644838758047,-26.85065483725859
60,35,0.5114476710479963,-25.56569868560112
61,33,0.46405307635367876,-36.78407709389637
62,31,0.4445277283641218,-39.64168149076346
63,33,0.48751769208937645,-29.744692373187064
64,33,0.4995236769694671,-26.142896909159873
65,33,0.49490164021813143,-27.52950793456057
66,33,0.49337177605075055,-27.988467184774834
67,35,0.5036698442197931,-27.89904673406207
68,33,0.47973455130738785,-32.079634607783646
69,36,0.5144189379703477,-26.174318608895703
70,34,0.5106835268894017,-24.2949419331795
71,34,0.4957614410831326,-28.771567675060226
72,33,0.5047324153908122,-24.580275382756355
73,38,0.564737035443386,-14.078889366984185
74,32,0.4602805188427652,-36.415844347170435
75,36,0.5466557496644171,-16.50327510067487
76,34,0.503366535005199,-26.490039498440296
77,32,0.4772163953955797,-31.33508138132609
78,33,0.47526026936810695,-33.421919189567916
79,34,0.4945237373049878,-29.142878808503667
80,35,0.497605294075278,-29.718411777416605
81,34,0.49637848771934046,-28.586453684197863
82,34,0.49618881482756905,-28.643355551729286
83,35,0.5081857003920263,-26.54428988239212
84,34,0.4980670118980157,-28.079896430595284
85,33,0.48949519071757663,-29.15144278472701
86,37,0.545670705342836,-18.298788397149195
87,41,0.5990551872423353,-8.283443827299408
88,33,0.487859651075631,-29.642104677310698
89,34,0.5005121632400105,-27.34635102799686
90,35,0.5293917315958723,-20.18248052123832
91,33,0.4967374487094034,-26.97876538717898
92,33,0.4697128424839434,-35.08614725481698
93,34,0.5106152476491559,-24.315425705253233
94,35,0.517858558722601,-23.6424323832197
95,33,0.4952626393854018,-27.421208184379452
96,33,0.4918235265689077,-28.452942029327687
97,30,0.4406616675138295,-39.301499745851146
98,35,0.5022790933652672,-28.316271990419835
99,34,0.5079979543418958,-25.10061369743127
100,35,0.5065794403980419,-27.026167880587423
101,34,0.4957450790118543,-28.776476296443718
102,32,0.4925088908851407,-26.747332734457785
103,29,0.43138667797803265,-40.583996606590205
104,35,0.4929552585043595,-31.11342244869215
105,31,0.45824806031097154,-35.52558190670854
106,32,0.4927477033738654,-26.675688987840374
107,33,0.49777247306525396,-26.66825808042381
108,32,0.46296520437731914,-35.61043868680426
109,36,0.5182063028106683,-25.03810915679952
110,34,0.481355309335072,-33.093407199478406
111,32,0.4884683562619969,-27.959493121400925
112,32,0.4818382654200377,-29.948520373988686
113,33,0.4675555368455804,-35.73333894632589
114,31,0.44426371086464655,-39.72088674060603
115,30,0.4573342245892107,-34.29973262323679
116,33,0.4897861141615252,-29.064165751542447
117,32,0.4567726992948309,-37.468190211550734
118,34,0.499549137455908,-27.635258763227597
119,34,0.4918771410079472,-29.936857697615835
120,33,0.48970642886322224,-29.088071341033327
121,37,0.5372253183650813,-20.832404490475625
122,31,0.46279851334600863,-34.16044599619741
123,33,0.49242331170489706,-28.273006488530882
124,31,0.46062333443738623,-34.81299966878413
125,35,0.4998850172902962,-29.034494812911134
126,35,0.5227326115873296,-22.180216523801107
127,36,0.5085129353791018,-27.94611938626946
128,33,0.5073930974816179,-23.78207075551464
129,35,0.5133786087904042,-24.98641736287874
130,34,0.5013551461222221,-27.09345616333337
131,33,0.5004273259527068,-25.871802214187966
132,33,0.4742758122119639,-33.71725633641083
133,33,0.501932816381526,-25.420155085542206
134,35,0.5224794721203097,-22.256158363907105
135,32,0.4646247912959538,-35.11256261121386
136,33,0.4746565388520949,-33.60303834437153
137,38,0.5417108188852993,-20.98675433441022
138,35,0.5314405905033297,-19.56782284900109
139,35,0.5131741876404803,-25.047743707855915
140,33,0.4776242022801611,-32.712739315951666
141,35,0.5150240048647134,-24.492798540585966
142,35,0.5243422280400125,-21.697331587996246
143,34,0.5032741687552971,-26.51774937341088
144,33,0.48109568568350625,-31.671294294948126
145,34,0.5065709698396788,-25.528709048096374
146,34,0.508173285834971,-25.048014249508697
147,36,0.5286020891681247,-21.919373249562597
148,34,0.5059013440632967,-25.729596781010997
149,32,0.47871228189651305,-30.886315431046086
150,34,0.4840967369672171,-32.27097890983487
151,32,0.47966383007314306,-30.600850978057082
152,31,0.46658533492608,-33.024399522176
153,33,0.49420775792265204,-27.73767262320439
154,33,0.4755452360561421,-33.33642918315738
155,32,0.47104045172721243,-33.18786448183627
156,32,0.4738470978982505,-32.34587063052484
157,33,0.503418154801814,-24.974553559455813
158,33,0.482526797677032,-31.241960696890402
159,33,0.4890745025907748,-29.277649222767565
160,32,0.46792663779550736,-34.12200866134779
161,35,0.5256614954776282,-21.301551356711542
162,34,0.5056045622357033,-25.81863132928902
163,34,0.501858950004447,-26.942314998665893
164,33,0.4825636680809069,-31.230899575727932
165,34,0.5113230937482598,-24.103071875522062
166,33,0.4929974259468608,-28.10077221594176
167,31,0.4760544780627143,-30.183656581185716
168,32,0.4765662360653451,-31.53012918039647
169,35,0.518886267120152,-23.334119863954413
170,35,0.5098973199999435,-26.030804000016957
171,35,0.5328707427977974,-19.138777160660766
172,36,0.5258758169610189,-22.737254911694322
173,34,0.48777156924963094,-31.168529225110717
174,34,0.5041651354254171,-26.250459372374877
175,34,0.48591763177194025,-31.724710468417925
176,35,0.49622796854551154,-30.131609436346537
177,32,0.47030481224059173,-33.40855632782248
178,31,0.44310997435957233,-40.0670076921283
179,35,0.5114395235353726,-25.568142939388224
180,35,0.5215834596953854,-22.524962091384367
181,32,0.4899467363818317,-27.515979085450482
182,32,0.4690641589777229,-33.78075230668313
183,33,0.47930733682174775,-32.207798953475674
184,33,0.4919222386668167,-28.423328399954983
185,34,0.5151149271411697,-22.965521857649094
186,33,0.4802556361844239,-31.923309144672828
187,37,0.5361064103943676,-21.16807688168973
188,35,0.5146050752799667,-24.618477416009995
189,31,0.44828826037748826,-38.51352188675352
190,35,0.48900242386518045,-32.299272840445866
191,34,0.506969432091168,-25.409170372649612
192,38,0.5399570591780645,-21.51288224658066
193,32,0.4653562041736592,-34.89313874790224
194,34,0.49460439843618076,-29.118680469145772
195,33,0.47950421202057925,-32.148736393826226
196,34,0.4869391868867936,-31.418243933961918
197,33,0.486930863747169,-29.920740875849305
198,32,0.4692951074452978,-33.711467766410664
199,32,0.4816751346863626,-29.997459594091225
200,31,0.4411820351934068,-40.645389441977954
201,31,0.45512278477129087,-36.46316456861274
202,35,0.4994895606787111,-29.153131796386674
203,32,0.4472571096455553,-40.322867106333405
204,34,0.49549720778013295,-28.850837665960114
205,34,0.5021230046873058,-26.863098593808274
206,34,0.500946914921137,-27.21592552365891
207,34,0.49969697452025486,-27.590907643923543
208,34,0.5008610585323297,-27.241682440301105
209,32,0.48288206082882823,-29.63538175135153
210,34,0.5011647900999989,-27.150562970000323
211,36,0.5117665602761008,-26.970031917169763
212,34,0.5157396167064192,-22.778114988074236
213,33,0.45874884263287186,-38.37534721013844
214,34,0.5073552750194139,-25.293417494175827
215,34,0.4910684991104688,-30.179450266859362
216,32,0.4951717723105702,-25.948468306828943
217,35,0.5131947748920282,-25.041567532391525
218,35,0.522215593254991,-22.335322023502698
219,34,0.5026693730304927,-26.699188090852175
220,37,0.5363186595290301,-21.10440214129096
221,34,0.5126170904434275,-23.714872866971746
222,35,0.5129864938282154,-25.104051851535388
223,33,0.4851068213895502,-30.467953583134943
224,34,0.49067370181511905,-30.297889455464286
225,32,0.47811471753203705,-31.065584740388886
226,32,0.47803684158307647,-31.08894752507706
227,35,0.49884640219047327,-29.34607934285802
228,30,0.4431990694728114,-38.54027915815658
229,32,0.4720082573265856,-32.897522802024326
230,36,0.5215552422225826,-24.033427333225205
231,34,0.4986286580590189,-27.91140258229433
232,33,0.48524036940889204,-30.42788917733239
233,32,0.4704450633814403,-33.366480985567904
234,34,0.5019232754009693,-26.923017379709222
235,31,0.48210918966171334,-28.367243101485997
236,35,0.5061444976662841,-27.156650700114767
237,31,0.4433309202410598,-40.00072392768206
238,33,0.4933807224636553,-27.985783260903418
239,33,0.47515666437597304,-33.45300068720809
240,36,0.535203411986295,-19.938976404111514
241,31,0.4585763618872889,-35.42709143381333
242,32,0.4659388294321829,-34.71835117034513
243,34,0.48730327210720503,-31.30901836783849
244,32,0.48783510793064266,-28.1494676208072
245,32,0.48687170602023855,-28.438488193928436
246,32,0.47709680642513064,-31.37095807246081
247,34,0.5092732412899039,-24.718027613028823
248,34,0.5153966803682337,-22.880995889529885
249,34,0.4837746362661477,-32.36760912015569
250,33,0.4698757499706048,-35.03727500881857
251,33,0.4879479131001432,-29.615626069957045
252,33,0.4868147588725975,-29.955572338220747
253,34,0.4872344992124198,-31.329650236274063
254,36,0.5251095295825365,-22.96714112523904
255,33,0.4793201657158761,-32.20395028523717
256,31,0.45104534265733065,-37.686397202800805
257,32,0.4767166004411294,-31.48501986766118
258,36,0.5184176037738695,-24.974718867839158
259,33,0.49522286895466294,-27.433139313601117
260,33,0.4812580335737451,-31.622589927876476
261,35,0.5186572908950708,-23.402812731478747
262,31,0.4541457343680335,-36.756279689589945
263,34,0.4947564096561692,-29.073077103149245
264,37,0.5432167662787037,-19.034970116388877
265,36,0.535095680911347,-19.971295726595912
266,32,0.46420214021544837,-35.23935793536549
267,33,0.47457875732752086,-33.62637280174374
268,34,0.5024495792431836,-26.76512622704493
269,34,0.5044688720659352,-26.159338380219452
270,33,0.47854962372094434,-32.4351128837167
271,34,0.497283393281613,-28.314982015516108
272,33,0.5039273257020866,-24.821802289374006
273,39,0.5585010596625395,-17.449682101238153
274,32,0.49047625124077854,-27.35712462776644
275,33,0.49713599510411655,-26.859201468765036
276,33,0.47290753330262447,-34.12774000921266
277,34,0.4958524763451848,-28.744257096444557
278,34,0.4854134928285134,-31.875952151445972
279,31,0.4348470308518131,-42.545890744456074
280,33,0.49722828340183156,-26.83151497945053
281,35,0.4952394823297084,-30.428155301087486
282,31,0.4623561390417663,-34.293158287470106
283,34,0.5031925392423986,-26.54223822728042
284,35,0.5216251003922636,-22.512469882320914
285,33,0.4843472168484979,-30.695834945450628
286,32,0.4827560662236934,-29.673180132891986
287,32,0.4556557260882812,-37.80328217351564
288,35,0.5288551403568889,-20.343457892933344
289,32,0.47032873259456665,-33.401380221630006
291,32,0.48639499699735467,-28.5815009007936
292,30,0.441560811244571,-39.03175662662869
293,27,0.3714965312397638,-55.551040628070865
294,29,0.39525186860106487,-51.42443941968054
295,27,0.3650144580532526,-57.49566258402422
296,25,0.3347772043675974,-63.56683868972078
297,22,0.290922694480372,-72.2231916558884
298,24,0.31096210896276943,-69.21136731116917
299,23,0.300714585017829,-70.7856244946513
301,23,0.3137307452353184,-66.88077642940448
302,25,0.32283682291046034,-67.1489531268619
303,22,0.2825437221977083,-74.73688334068751
304,23,0.2837481131808204,-75.87556604575389
305,26,0.3272058642268618,-67.33824073194145
306,28,0.355220705917759,-61.9337882246723
307,28,0.36631167477762716,-58.60649756671185
308,28,0.3336926497994881,-68.39220506015357
309,25,0.3046706428214421,-72.59880715356738
311,27,0.3452551386665874,-63.423458400023776
312,27,0.3434624336812888,-63.961269895613356
313,26,0.3367994536548906,-64.46016390353282
314,27,0.3609851028918811,-58.70446913243566
315,26,0.32882488441646984,-66.85253467505905
316,27,0.341416660255355,-64.5750019233935
317,24,0.3033217539565811,-71.50347381302566
318,26,0.32137757290377067,-69.0867281288688
319,26,0.32459244540746823,-68.12226637775953
321,25,0.30585965230768863,-72.24210430769341
322,25,0.30971651718709126,-71.08504484387262
323,26,0.34631811810920965,-61.604564567237105
324,26,0.3361910449294001,-64.64268652117997
325,27,0.3382294914521182,-65.53115256436453
326,25,0.31777301522784995,-68.66809543164501
327,28,0.35265084723884144,-62.70474582834757
328,26,0.33315969642550414,-65.55209107234876
329,29,0.3589396634825093,-62.31810095524722
331,27,0.3390156232036574,-65.29531303890278
332,27,0.3347094314810093,-66.58717055569721
333,27,0.3443887860705388,-63.68336417883836
334,27,0.34226850054797353,-64.31944983560794
335,25,0.3117790650755552,-70.46628047733344
336,26,0.3416973176549263,-62.990804703522116
337,26,0.3259483907555065,-67.71548277334804
338,29,0.35086510863723674,-64.74046740882898
339,25,0.31865229359307534,-68.4043119220774
341,25,0.3194401269981384,-68.16796190055848
342,26,0.3287613602853554,-66.87159191439338
343,26,0.33285047824143277,-65.64485652757017
344,26,0.3321923627948209,-65.84229116155373
345,25,0.31883253559634284,-68.35023932109715
346,27,0.3458644063674612,-63.240678089761644
347,27,0.33835010133802257,-65.49496959859323
348,26,0.34047047610631154,-63.35885716810654
349,25,0.3163953949306375,-69.08138152080875
351,28,0.3668126498357438,-58.45620504927686
352,29,0.3713874003041582,-58.58377990875255
353,27,0.34312159044513635,-64.0635228664591
354,27,0.3386993485076246,-65.39019544771261
355,26,0.3303043851573406,-66.40868445279781
356,25,0.3190679376649683,-68.2796187005095
357,26,0.34019510157810373,-63.44146952656888
358,27,0.35064793839345754,-61.80561848196274
359,28,0.3548525153231026,-62.044245403069226
361,26,0.3360331382527093,-64.69005852418721
